brand;year;transmission;mileage;fuelType;tax;mpg;engineSize;price
hyundi;2020;Semi-Auto;6000;Diesel;150.0;39.2;2.2;36999
merc;2015;Semi-Auto;29036;Diesel;160.0;50.4;3.0;24998
vw;2017;Automatic;34203;Diesel;145.0;62.8;2.0;17000
toyota;2016;Manual;29535;Diesel;20.0;67.3;1.6;9499
bmw;2012;Automatic;51000;Petrol;555.0;28.5;4.4;23995
ford;2017;Manual;4040;Petrol;145.0;54.3;1.0;14500
hyundi;2017;Manual;10279;Petrol;145.0;50.4;1.4;9795
vw;2017;Manual;24481;Diesel;150.0;55.4;2.0;16299
vw;2019;Automatic;6898;Diesel;260.0;33.6;3.0;34900
vw;2016;Manual;17141;Diesel;20.0;55.4;2.0;15940
vw;2019;Automatic;6000;Diesel;145.0;50.4;2.0;28990
vw;2018;Automatic;13764;Diesel;260.0;36.2;3.0;27900
ford;2016;Automatic;35646;Diesel;160.0;51.4;2.0;17750
ford;2013;Manual;17427;Petrol;30.0;57.7;1.2;5300
skoda;2017;Manual;19956;Diesel;145.0;62.8;2.0;13750
ford;2016;Manual;27315;Diesel;125.0;56.5;2.0;18000
toyota;2017;Automatic;9891;Hybrid;0.0;85.6;1.8;20000
vw;2016;Manual;21930;Petrol;125.0;51.4;1.2;10941
merc;2020;Automatic;3600;Petrol;145.0;33.2;2.0;54900
ford;2019;Manual;1410;Diesel;145.0;30.1;2.0;26922
toyota;2018;Automatic;59191;Other;135.0;235.0;1.8;18150
ford;2016;Manual;23300;Diesel;125.0;56.5;2.0;17990
vw;2011;Automatic;86000;Diesel;325.0;34.4;2.0;19995
merc;2019;Automatic;11607;Diesel;145.0;37.2;3.0;44990
ford;2017;Manual;4856;Diesel;145.0;61.4;1.5;13998
toyota;2018;Automatic;10549;Hybrid;135.0;94.1;1.8;20950
hyundi;2017;Semi-Auto;12957;Diesel;240.0;42.8;2.2;19498
bmw;2017;Automatic;17338;Hybrid;135.0;470.8;0.0;19495
bmw;2019;Semi-Auto;6449;Diesel;145.0;37.2;3.0;41999
merc;2017;Semi-Auto;41298;Diesel;205.0;45.6;2.2;29998
bmw;2019;Automatic;2188;Petrol;145.0;26.9;3.0;42460
toyota;2019;Automatic;3982;Hybrid;135.0;61.4;1.8;22990
toyota;2016;Automatic;48297;Hybrid;0.0;85.6;1.8;17650
vauxhall;2015;Manual;32160;Petrol;160.0;44.8;1.6;8790
audi;2017;Automatic;38000;Petrol;150.0;34.0;2.5;31888
vw;2019;Automatic;7971;Diesel;145.0;39.2;2.0;26995
merc;2019;Manual;5000;Diesel;145.0;46.3;2.1;24990
audi;2020;Automatic;3522;Diesel;145.0;30.7;4.0;84496
vw;2017;Manual;30456;Diesel;150.0;67.3;2.0;13981
bmw;2017;Automatic;23954;Petrol;260.0;36.7;3.0;23400
ford;2017;Manual;23838;Diesel;150.0;44.8;2.0;19490
ford;2016;Manual;87180;Diesel;125.0;56.5;2.0;14500
bmw;2017;Semi-Auto;18441;Diesel;145.0;54.3;2.0;23000
skoda;2019;Manual;458;Petrol;150.0;49.6;1.0;16991
hyundi;2019;Semi-Auto;5883;Diesel;145.0;39.2;2.2;33791
bmw;2019;Semi-Auto;1852;Diesel;145.0;40.4;3.0;37980
vw;2017;Automatic;25624;Diesel;260.0;36.2;3.0;25995
ford;2018;Semi-Auto;12815;Diesel;150.0;48.7;2.0;22795
vauxhall;2017;Manual;21000;Diesel;145.0;62.8;1.6;12295
vw;2020;Manual;1700;Diesel;150.0;51.4;2.0;22000
audi;2020;Automatic;10;Petrol;145.0;30.1;2.5;42490
bmw;2019;Semi-Auto;7414;Diesel;145.0;42.8;2.0;35480
ford;2013;Manual;22995;Petrol;30.0;57.7;1.2;4391
ford;2016;Manual;34883;Diesel;30.0;61.4;2.0;11998
vw;2018;Manual;30532;Diesel;145.0;53.3;2.0;16495
ford;2019;Automatic;1055;Petrol;145.0;22.1;5.0;37991
bmw;2020;Semi-Auto;3500;Diesel;145.0;42.2;3.0;53995
toyota;2010;Automatic;67000;Hybrid;0.0;70.6;1.8;6995
audi;2019;Automatic;15302;Diesel;145.0;47.1;2.0;31720
ford;2016;Manual;33883;Diesel;125.0;56.5;2.0;14999
toyota;2018;Automatic;44512;Hybrid;135.0;94.1;1.8;17995
vw;2016;Manual;32526;Petrol;125.0;52.3;1.4;14382
vw;2019;Semi-Auto;10000;Diesel;150.0;32.8;2.0;34950
vw;2016;Automatic;54355;Diesel;125.0;58.9;2.0;10712
bmw;2019;Semi-Auto;7363;Petrol;145.0;38.2;2.0;27450
merc;2013;Semi-Auto;64777;Diesel;205.0;47.1;3.0;14972
merc;2019;Semi-Auto;7301;Diesel;145.0;47.9;2.9;42900
ford;2013;Manual;33761;Petrol;30.0;57.7;1.2;4500
audi;2017;Automatic;27000;Petrol;150.0;34.0;3.0;36950
hyundi;2018;Manual;3250;Petrol;145.0;37.2;1.6;12995
skoda;2019;Manual;3501;Petrol;145.0;49.6;1.0;15490
audi;2019;Semi-Auto;2469;Petrol;150.0;29.7;2.9;56400
bmw;2019;Semi-Auto;8515;Diesel;145.0;42.8;2.0;34000
bmw;2020;Semi-Auto;11;Petrol;145.0;42.8;2.0;33999
skoda;2013;Manual;29750;Petrol;125.0;52.3;1.2;5495
toyota;2013;Automatic;52217;Hybrid;0.0;134.5;1.8;13522
ford;2017;Semi-Auto;25725;Diesel;145.0;47.9;2.0;22511
skoda;2017;Manual;13591;Petrol;145.0;51.4;1.2;15495
ford;2017;Automatic;19039;Diesel;160.0;48.7;2.0;20000
merc;2006;Automatic;75000;Petrol;555.0;28.0;3.5;4995
skoda;2014;Manual;43429;Diesel;30.0;61.4;1.6;9000
merc;2018;Semi-Auto;41102;Petrol;145.0;23.0;5.5;64999
hyundi;2020;Semi-Auto;1801;Diesel;145.0;39.8;2.2;35995
ford;2016;Manual;30225;Petrol;30.0;57.7;1.2;5666
skoda;2019;Semi-Auto;5000;Petrol;145.0;47.1;1.0;16250
toyota;2014;Manual;39761;Petrol;265.0;36.2;2.0;13000
skoda;2015;Manual;32800;Diesel;165.0;49.6;2.0;10480
bmw;2019;Semi-Auto;7994;Petrol;145.0;42.8;2.0;31999
vw;2019;Automatic;16898;Diesel;260.0;33.6;3.0;27990
skoda;2019;Semi-Auto;1500;Petrol;145.0;43.5;1.5;22500
ford;2015;Manual;30760;Diesel;115.0;58.9;1.6;10995
merc;2017;Automatic;11447;Diesel;260.0;35.8;2.3;31000
skoda;2020;Manual;1500;Petrol;145.0;49.6;1.0;18490
ford;2017;Manual;8121;Petrol;145.0;54.3;1.0;12490
hyundi;2018;Automatic;34605;Diesel;145.0;28.0;2.5;15990
hyundi;2019;Semi-Auto;30;Diesel;145.0;40.9;2.2;32995
skoda;2017;Manual;23002;Petrol;145.0;57.7;1.2;8990
merc;2017;Automatic;38247;Petrol;145.0;20.5;5.5;71995
hyundi;2017;Manual;21354;Petrol;145.0;50.4;1.4;9490
skoda;2019;Automatic;3500;Petrol;145.0;45.6;1.5;17995
ford;2017;Semi-Auto;40838;Diesel;145.0;52.3;2.0;18000
ford;2019;Automatic;4694;Diesel;145.0;37.2;2.0;33000
hyundi;2019;Manual;7691;Diesel;150.0;31.7;0.0;18500
vw;2019;Automatic;11163;Diesel;145.0;33.6;2.0;44500
skoda;2018;Manual;12231;Petrol;145.0;62.8;1.0;7995
toyota;2014;Manual;25499;Petrol;260.0;36.2;2.0;12998
ford;2009;Manual;6000;Petrol;30.0;55.4;1.2;4990
vw;2020;Semi-Auto;2000;Diesel;150.0;33.6;2.0;43495
merc;2020;Semi-Auto;19;Diesel;145.0;46.3;2.0;36980
hyundi;2014;Manual;53544;Diesel;165.0;51.4;2.0;9475
toyota;2019;Automatic;10;Petrol;145.0;34.5;3.0;49499
skoda;2014;Manual;13593;Petrol;165.0;46.3;1.2;11000
bmw;2020;Semi-Auto;7724;Diesel;145.0;37.2;3.0;45990
merc;2017;Automatic;56316;Diesel;125.0;56.5;2.1;20500
merc;2017;Semi-Auto;26699;Diesel;145.0;50.4;3.0;30580
vw;2018;Manual;27885;Petrol;145.0;47.1;2.0;16725
skoda;2015;Manual;18926;Diesel;30.0;64.2;1.6;6998
merc;2016;Automatic;17730;Diesel;165.0;51.4;3.0;21591
hyundi;2014;Manual;42000;Petrol;125.0;50.4;1.4;5945
hyundi;2015;Manual;68969;Diesel;20.0;67.3;1.7;7050
vw;2014;Manual;30000;Petrol;125.0;52.3;1.4;10698
ford;2016;Manual;30691;Petrol;30.0;54.3;1.0;9660
ford;2015;Manual;15296;Petrol;30.0;57.7;1.2;4998
skoda;2016;Semi-Auto;5002;Petrol;125.0;51.4;1.2;12370
toyota;2018;Manual;34505;Diesel;145.0;67.3;1.6;13500
vw;2019;Semi-Auto;6000;Diesel;145.0;29.4;2.0;48995
toyota;2017;Manual;6445;Petrol;145.0;36.2;2.0;20995
